,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
31,2025-01-27,先锋精科,688605,75.06,72.0,76.14,71.0,40753,299112543.0,6.81,-4.61,-3.48,10.71
30,2025-01-24,先锋精科,688605,74.6,75.48,75.69,73.75,41909,313423850.0,2.59,0.87,0.65,11.02
29,2025-01-23,先锋精科,688605,78.4,74.83,79.32,74.8,56875,436244222.0,5.85,-3.21,-2.48,14.95
28,2025-01-22,先锋精科,688605,79.23,77.31,79.35,77.31,37056,290327767.0,2.55,-3.41,-2.73,9.74
27,2025-01-21,先锋精科,688605,79.3,80.04,81.8,78.24,46918,374933406.0,4.53,1.83,1.44,12.33
26,2025-01-20,先锋精科,688605,80.36,78.6,81.0,78.1,49737,393924664.0,3.61,-2.24,-1.8,13.07
25,2025-01-17,先锋精科,688605,76.49,80.4,83.24,76.11,68612,547981900.0,9.18,3.47,2.7,18.03
24,2025-01-16,先锋精科,688605,77.53,77.7,79.9,76.9,46710,364524459.0,3.9,0.91,0.7,12.28
23,2025-01-15,先锋精科,688605,81.01,77.0,81.59,76.8,66913,529021613.0,5.86,-5.86,-4.79,17.59
22,2025-01-14,先锋精科,688605,79.0,81.79,82.0,78.29,62989,507466370.0,4.73,4.28,3.36,16.56
21,2025-01-13,先锋精科,688605,79.0,78.43,80.49,76.76,60877,478338557.0,4.59,-3.52,-2.86,16.0
20,2025-01-10,先锋精科,688605,83.9,81.29,87.56,81.22,79704,672268844.0,7.49,-3.91,-3.31,20.95
19,2025-01-09,先锋精科,688605,84.38,84.6,86.33,83.7,64466,547083615.0,3.08,-1.05,-0.9,16.94
18,2025-01-08,先锋精科,688605,80.3,85.5,86.94,79.38,88091,726118838.0,9.29,5.1,4.15,23.15
17,2025-01-07,先锋精科,688605,75.38,81.35,81.7,75.38,79744,632499306.0,8.36,7.61,5.75,20.96
16,2025-01-06,先锋精科,688605,77.22,75.6,78.47,73.56,52918,403349557.0,6.35,-2.29,-1.77,13.91
15,2025-01-03,先锋精科,688605,78.2,77.37,81.68,77.0,65663,521832473.0,6.05,0.0,0.0,17.26
14,2025-01-02,先锋精科,688605,76.4,77.37,79.18,75.77,65541,509628288.0,4.44,0.64,0.49,17.23
13,2024-12-31,先锋精科,688605,78.02,76.88,78.5,74.7,67644,519918325.0,4.88,-1.28,-1.0,17.78
12,2024-12-30,先锋精科,688605,78.23,77.88,80.49,77.05,59568,467642028.0,4.33,-2.04,-1.62,15.66
11,2024-12-27,先锋精科,688605,81.57,79.5,86.94,79.46,101652,840295048.0,9.08,-3.51,-2.89,26.72
10,2024-12-26,先锋精科,688605,80.6,82.39,84.2,79.51,94827,777808789.0,5.78,1.47,1.19,24.92
9,2024-12-25,先锋精科,688605,82.82,81.2,88.0,80.08,148590,1247532476.0,9.41,-3.56,-3.0,39.06
8,2024-12-24,先锋精科,688605,71.4,84.2,84.2,69.48,162245,1249911169.0,20.98,19.99,14.03,42.65
7,2024-12-23,先锋精科,688605,74.11,70.17,76.39,70.11,109031,799526430.0,8.33,-6.94,-5.23,28.66
6,2024-12-20,先锋精科,688605,74.01,75.4,79.9,72.8,147698,1121219398.0,9.46,0.49,0.37,38.82
5,2024-12-19,先锋精科,688605,68.31,75.03,77.77,68.31,143589,1065137525.0,13.27,5.23,3.73,37.74
4,2024-12-18,先锋精科,688605,69.38,71.3,75.5,67.5,126646,909559783.0,11.4,1.57,1.1,33.29
3,2024-12-17,先锋精科,688605,67.3,70.2,72.45,66.4,118248,825116054.0,8.87,2.96,2.02,31.08
2,2024-12-16,先锋精科,688605,73.15,68.18,74.98,67.3,142591,1009998511.0,10.24,-9.09,-6.82,37.48
1,2024-12-13,先锋精科,688605,69.86,75.0,78.33,68.89,211880,1568447425.0,13.19,4.81,3.44,55.69
0,2024-12-12,先锋精科,688605,85.0,71.56,86.9,69.0,301807,2266552835.0,158.55,533.84,60.27,79.33
